mass,impulse_integral, impulse_time, impulse_pressure
25,0.01347330329401617,0.20515000000000327,0.06567537554967563
50,0.014845981644054406,0.1127999999999929,0.13161331244729912
75,0.011301688218312582,0.08939999999995507,0.12641709416463381
100,0.015893096952506746,0.11584999999996626,0.13718685328020178
