mass,impulse_integral, impulse_time, impulse_pressure
15,0.029803146711942924,0.45300000000000296,0.06579061084314068
20,0.03161633809134918,0.31844999999999857,0.09928195349772122
25,0.02884799359906436,0.16809999999999548,0.17161209755541426
30,0.026834290495821554,0.13705000000000211,0.19579927395710428
35,0.02871877907299751,0.1262999999999863,0.22738542417260985
